"species","latitude","longitude","date_obs","source"
"Libellula depressa",46.70029,6.55605,2025-06-08,"gbif"
"Libellula depressa",46.29756,6.88707,2025-06-13,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-28,"gbif"
"Libellula depressa",46.65835,7.14468,2025-06-25,"gbif"
"Libellula depressa",47.55741,7.87042,2025-06-29,"gbif"
"Libellula depressa",46.79355,7.60236,2025-06-01,"gbif"
"Libellula depressa",47.73155,8.67169,2025-06-12,"gbif"
"Libellula depressa",47.01512,8.3264,2025-06-14,"gbif"
"Libellula depressa",47.42224,7.93559,2025-06-23,"gbif"
"Libellula depressa",46.88305,7.07785,2025-06-21,"gbif"
"Libellula depressa",47.01512,8.3264,2025-06-14,"gbif"
"Libellula depressa",46.52323,7.08025,2025-06-25,"gbif"
"Libellula depressa",47.01512,8.3264,2025-06-15,"gbif"
"Libellula depressa",47.01646,6.74814,2025-06-29,"gbif"
"Libellula depressa",46.29835,7.79555,2025-06-25,"gbif"
"Libellula depressa",46.762379,7.631932,2025-06-05,"gbif"
"Libellula depressa",47.048865,8.551106,2025-06-24,"gbif"
"Libellula depressa",46.126322,7.934294,2025-06-22,"gbif"
"Libellula depressa",47.106,6.81087,2025-06-15,"gbif"
"Libellula depressa",47.650165,9.187208,2025-06-20,"gbif"
"Libellula depressa",47.576623,8.238932,2025-06-22,"gbif"
"Libellula depressa",46.210953,6.20825,2025-07-07,"gbif"
"Libellula depressa",46.667131,6.796733,2025-07-10,"gbif"
"Libellula depressa",46.18395,8.657962,2025-07-28,"gbif"
"Libellula depressa",46.24185,9.09179,2025-07-10,"gbif"
"Libellula depressa",46.24089,9.1566,2025-07-17,"gbif"
"Libellula depressa",46.28585,9.15802,2025-07-17,"gbif"
"Libellula depressa",46.20035,6.04591,2025-07-11,"gbif"
"Libellula depressa",46.5187,6.36353,2025-07-12,"gbif"
"Libellula depressa",47.46789,7.14019,2025-07-01,"gbif"
"Libellula depressa",46.56536,6.55826,2025-07-18,"gbif"
"Libellula depressa",47.37583,8.19999,2025-07-11,"gbif"
"Libellula depressa",46.88339,7.20904,2025-07-27,"gbif"
"Libellula depressa",46.33752,8.64005,2025-07-11,"gbif"
"Libellula depressa",47.42224,7.93559,2025-07-05,"gbif"
"Libellula depressa",47.42326,7.33923,2025-07-09,"gbif"
"Libellula depressa",47.04481,9.51143,2025-07-03,"gbif"
"Libellula depressa",46.73125,9.43394,2025-07-11,"gbif"
"Libellula depressa",47.46789,7.14019,2025-07-01,"gbif"
"Libellula depressa",47.42159,8.06811,2025-07-11,"gbif"
"Libellula depressa",47.37112,8.72955,2025-07-14,"gbif"
"Libellula depressa",46.24089,9.1566,2025-07-10,"gbif"
"Libellula depressa",46.73125,9.43394,2025-07-10,"gbif"
"Libellula depressa",46.37944,8.90097,2025-07-15,"gbif"
"Libellula depressa",46.20884,7.27668,2025-07-11,"gbif"
"Libellula depressa",46.69505,8.84414,2025-07-23,"gbif"
"Libellula depressa",47.10849,7.47157,2025-07-13,"gbif"
"Libellula depressa",46.65531,6.55679,2025-07-02,"gbif"
"Libellula depressa",46.24185,9.09179,2025-07-10,"gbif"
"Libellula depressa",46.69584,8.77878,2025-07-10,"gbif"
"Libellula depressa",47.5132,7.53819,2025-07-11,"gbif"
"Libellula depressa",46.65531,6.55679,2025-07-02,"gbif"
"Libellula depressa",46.65531,6.55679,2025-07-02,"gbif"
"Libellula depressa",46.8835,7.27464,2025-07-12,"gbif"
"Libellula depressa",47.01512,8.3264,2025-07-21,"gbif"
"Libellula depressa",46.97277,7.01153,2025-07-09,"gbif"
"Libellula depressa",46.28585,9.15802,2025-07-17,"gbif"
"Libellula depressa",46.32982,9.22435,2025-07-17,"gbif"
"Libellula depressa",46.10962,8.89374,2025-07-11,"gbif"
"Libellula depressa",46.79355,7.60236,2025-07-14,"gbif"
"Libellula depressa",46.88305,7.07785,2025-07-13,"gbif"
"Libellula depressa",46.842713,9.465823,2025-08-01,"gbif"
"Libellula depressa",46.24185,9.09179,2025-08-13,"gbif"
"Libellula depressa",46.24185,9.09179,2025-08-13,"gbif"
"Libellula depressa",47.24318,7.20749,2025-08-12,"gbif"
"Libellula depressa",46.79355,7.60236,2025-08-19,"gbif"
"Libellula depressa",46.24089,9.1566,2025-08-13,"gbif"
"Libellula depressa",46.15459,8.89494,2025-08-11,"gbif"
"Libellula depressa",47.55764,7.80399,2025-08-10,"gbif"
"Libellula depressa",46.37858,8.96595,2025-08-18,"gbif"
"Libellula depressa",47.01646,6.74814,2025-09-17,"gbif"
"Libellula depressa",46.97319,7.14295,2024-04-20,"gbif"
"Libellula depressa",46.42745,6.23524,2024-04-14,"gbif"
"Libellula depressa",47.28835,7.33948,2024-04-14,"gbif"
"Libellula depressa",47.44821,9.59346,2024-04-26,"gbif"
"Libellula depressa",46.29182,6.17335,2024-04-30,"gbif"
"Libellula depressa",47.40998,9.19431,2024-04-30,"gbif"
"Libellula depressa",46.88358,7.34024,2024-04-25,"gbif"
"Libellula depressa",47.51313,7.60456,2024-04-16,"gbif"
"Libellula depressa",46.92802,7.07754,2024-04-27,"gbif"
"Libellula depressa",46.79159,6.75102,2024-04-27,"gbif"
"Libellula depressa",47.41875,8.46565,2024-04-30,"gbif"
"Libellula depressa",47.41875,8.46565,2024-04-30,"gbif"
