"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","occurrence_id","t_mean_c","prec_mean_annual","elevation","slope_deg","aspect_deg","aspect_class","NDVI","temp_class","prec_class","distance_to_nearest_castor_m","distance_to_nearest_castor_km"
103,"Libellula depressa",47.030367,8.307349,"2022-05-27","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5473,11.6229166666667,109.729166666667,454,2.60282978865387,274.615553234898,"West",0.679183333333333,"(10.1,11.6]","(102,115]",3630.54975670592,3.63054975670592
103,"Libellula depressa",47.50978,8.33465,"2020-05-22","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5494,10.9166666666667,92.625,438,3.2241811508656,70.5607990406764,"East",0.641311111111111,"(10.1,11.6]","(88.1,102]",4010.35516356182,4.01035516356182
103,"Libellula depressa",46.51986,6.49384,"2020-05-24","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5506,12.63125,99.4166666666667,429,4.72726733732806,145.477234848864,"South",0.615288888888889,"(11.6,13.2]","(88.1,102]",4999.76331976101,4.99976331976101
103,"Libellula depressa",47.5129695884,8.0027259886,"2025-07-05","inat","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5518,11.1083333333333,84.1666666666667,412,5.26384534496974,90.2843694944259,"East",0.810255555555556,"(10.1,11.6]","(74.4,88.1]",122.423630086785,0.122423630086785
103,"Libellula depressa",47.226468,8.416751,"2024-07-20","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5530,11.7145833333334,90.3333333333333,386,0.272969076059955,343.693736930041,"North",0.725822222222222,"(11.6,13.2]","(88.1,102]",1050.28690645879,1.05028690645879
103,"Libellula depressa",47.55612,8.13614,"2024-06-18","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5534,11.14375,88.25,359,1.91997314890006,300.311181691057,"West",0.591822222222222,"(10.1,11.6]","(88.1,102]",0,0
103,"Libellula depressa",47.38397,8.330425,"2022-05-21","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5560,11.2354166666667,84.75,419,8.59935868477291,251.671362297375,"West",0.70925,"(10.1,11.6]","(74.4,88.1]",1021.48269662625,1.02148269662625
105,"Libellula depressa",46.88339,7.20904,"2020-05-30","gbif","Cool Temperate","Moist","Forest","Hills","Cool Temperate Moist",2,99,1,"Cool Temperate Moist Forest on Hills","#026301",5564,10.8750000000001,86.9166666666667,528,5.04303699752909,308.447785981308,"West",0.716261111111111,"(10.1,11.6]","(74.4,88.1]",0,0
105,"Libellula depressa",47.4677,7.07387,"2023-06-29","gbif","Cool Temperate","Moist","Forest","Hills","Cool Temperate Moist",2,99,1,"Cool Temperate Moist Forest on Hills","#026301",5566,10.5895833333333,89.5416666666667,504,3.96401566310339,67.0876816488635,"East",0.871983333333333,"(10.1,11.6]","(88.1,102]",5000.12584144933,5.00012584144933
105,"Libellula depressa",47.46246,8.59913,"2024-06-25","gbif","Cool Temperate","Moist","Forest","Hills","Cool Temperate Moist",2,99,1,"Cool Temperate Moist Forest on Hills","#026301",5569,10.6958333333334,86.1041666666667,509,6.77808928487256,217.214882869824,"South",0.691172222222222,"(10.1,11.6]","(74.4,88.1]",0,0
105,"Libellula depressa",47.41681,8.6644,"2020-04-26","gbif","Cool Temperate","Moist","Forest","Hills","Cool Temperate Moist",2,99,1,"Cool Temperate Moist Forest on Hills","#026301",5571,10.5979166666667,87.3333333333333,520,1.90693190790919,347.187009766371,"North",0.872605555555556,"(10.1,11.6]","(74.4,88.1]",0,0
105,"Libellula depressa",47.58878,9.26672,"2022-07-13","gbif","Cool Temperate","Moist","Forest","Hills","Cool Temperate Moist",2,99,1,"Cool Temperate Moist Forest on Hills","#026301",5588,10.6291666666667,87.9791666666667,518,1.76884203907007,78.9020187541086,"East",0.877194444444445,"(10.1,11.6]","(74.4,88.1]",0,0
105,"Libellula depressa",47.6851,8.80381,"2021-06-01","gbif","Cool Temperate","Moist","Forest","Hills","Cool Temperate Moist",2,99,1,"Cool Temperate Moist Forest on Hills","#026301",5592,10.7187500000001,69.0833333333333,443,6.77779165911375,132.920793287752,"East",0.816555555555556,"(10.1,11.6]","(60.6,74.4]",0,0
105,"Libellula depressa",47.55098,8.73393,"2025-05-12","gbif","Cool Temperate","Moist","Forest","Hills","Cool Temperate Moist",2,99,1,"Cool Temperate Moist Forest on Hills","#026301",5599,10.5479166666667,77.0833333333333,501,2.23215862709534,20.1999719196379,"North",0.685538888888889,"(10.1,11.6]","(74.4,88.1]",0,0
