"species","latitude","longitude","date_obs","source"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",47.5581,7.6047,2025-02-08,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.79023,6.55458,2025-02-28,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.38751,6.88615,2025-02-21,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.88358,7.53703,2025-02-08,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.38781,6.95115,2025-02-28,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.8835,7.27464,2025-02-12,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.8835,7.27464,2025-02-12,"gbif"
"Castor fiber",47.04598,9.44566,2025-02-02,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",47.04598,9.44566,2025-02-02,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.97357,7.40578,2025-02-23,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.38781,6.95115,2025-02-28,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29887,7.53598,2025-02-20,"gbif"
"Castor fiber",46.38751,6.88615,2025-02-21,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.29887,7.53598,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.38751,6.88615,2025-02-21,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.29887,7.53598,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",47.51267,7.80369,2025-02-19,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29887,7.53598,2025-02-20,"gbif"
"Castor fiber",47.595569,8.216,2025-02-16,"gbif"
"Castor fiber",46.77621,9.43561,2025-02-01,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",47.04481,9.51143,2025-02-23,"gbif"
"Castor fiber",47.51267,7.80369,2025-02-19,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.38751,6.88615,2025-02-21,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29887,7.53598,2025-02-20,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29887,7.53598,2025-02-20,"gbif"
"Castor fiber",46.38781,6.95115,2025-02-28,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
